"Country","Region","Happiness.Score","Class","Mean.years.of.schooling","Carbon.Dioxide.Emissions.per.GDP","Change.Florest.Area","Gender.Inequality.Index","Child.malnutrition","Current.health.expenditure","Homicide.Rate","Net.migration.rate","Unemployment","Vulnerable.employment","Suicide.Rate","Contraceptive.prevalence","GDP.per.capita","Life.expectancy.at.birth","Median.age","Refugees.by.country.of.origin","Share.parliament.by.women"
"'Indonesia'"," 'SoutheasternAsia'",5.399,2,7.9,0.17,-23.8,0.494,30.8,3,0.6,-0.4,4.5,47.5,3.75,55.5,10150,70.8,28.5,11.1,17.1
"'Vietnam'"," 'SoutheasternAsia'",5.36,2,8,0.36,67.1,0.319,23.8,5.7,NA,-0.9,2.1,57.8,7.2,77.5,6438,75.1,30.5,316.4,24.3
"'Turkey'"," 'MiddleEastandNorthernAfrica'",5.332,2,7.6,0.18,22.8,0.339,6,4.1,2.8,4.7,10.2,28.4,7.3,69.8,26015,76.5,29.9,83.3,14.9
"'Kyrgyzstan'"," 'CentralandEasternEurope'",5.286,2,10.9,0.52,-24.8,0.389,11.8,7.1,5.1,-3.3,7.6,38,9,39.4,4805,70.9,25.1,3,19.2
"'Nigeria'"," 'Sub-SaharanAfrica'",5.268,2,6.2,0.08,-61.8,NA,36.8,3.6,NA,-0.4,4.3,77.9,17.4,27.6,5515,53.1,17.9,295.6,5.8
"'Bhutan'"," 'SouthernAsia'",5.253,2,3.4,NA,35.1,0.492,33.5,3.7,1.6,0.1,2.5,72.8,11.65,65.6,10086,70.4,25.7,7,8.3
"'Azerbaijan'"," 'CentralandEasternEurope'",5.212,1,10.5,0.2,37.7,0.316,17.8,6.7,2.3,0.2,5,55.5,2.7,54.9,14854,72.3,30.3,11.1,16.9
"'Pakistan'"," 'SouthernAsia'",5.194,1,5.1,0.17,-43.5,0.541,37.6,2.7,4.8,-1.1,3.6,59.2,3.15,34.2,4278,66.6,21.8,137.2,20
"'Jordan'"," 'MiddleEastandNorthernAfrica'",5.192,1,10.3,0.31,-0.6,0.481,7.8,7.6,1.6,25.6,13.1,9.3,3.7,51.8,9971,74.1,22.1,2.4,11.6
"'Montenegro'"," 'CentralandEasternEurope'",5.192,1,11.3,0.26,32.1,0.158,9.4,NA,2.7,-1,17.5,11.8,7.9,20.7,18212,76.5,37.7,0.7,17.3
"'China'"," 'EasternAsia'",5.14,1,7.7,0.5,33.6,0.172,8.1,4.9,0.7,-0.2,4.6,48.1,8.2,84.5,12692,75.9,36.7,212.9,23.6
"'Zambia'"," 'Sub-SaharanAfrica'",5.129,1,6.9,0.06,-8.2,0.573,34.6,4.4,5.4,-0.7,10.1,78.7,11.75,49.5,3444,61.7,16.7,0.3,12.7
"'Romania'"," 'CentralandEasternEurope'",5.124,1,10.9,0.17,8.4,0.317,NA,4.9,1.7,-3,6.8,27.9,9.35,NA,23944,75.5,41.3,1.4,12
"'Serbia'"," 'CentralandEasternEurope'",5.123,1,11,0.5,9.9,0.163,6,8.8,1.2,0.7,17.7,26.4,11,58.4,15514,75.3,40.5,NA,34
"'Portugal'"," 'WesternEurope'",5.102,1,9.1,0.17,-7.8,0.099,NA,9,1,-2.7,12.4,13.6,9.05,73.9,31158,81.2,43.9,0,34.8
"'Latvia'"," 'CentralandEasternEurope'",5.098,1,12.8,0.16,5.8,0.217,NA,5.7,3.4,-8.1,9.9,8.3,18.1,NA,26490,74.7,42.6,0.1,18
"'Philippines'"," 'SoutheasternAsia'",5.073,1,9.3,0.15,26.3,0.436,30.3,4.3,9.4,-1.7,3.1,37.9,3.85,54.1,7300,70.6,24.1,0.5,27.1
"'Somalilandregion'"," 'Sub-SaharanAfrica'",5.057,1,NA,NA,-24.1,NA,25.3,NA,NA,-3.6,11.6,87.5,8.4,NA,NA,55.9,16.2,904.7,13.8
"'Morocco'"," 'MiddleEastandNorthernAfrica'",5.013,1,5,0.22,13.5,0.471,15.1,5.1,1.2,-2.2,9.5,49.8,3.1,70.8,7130,75.7,27.9,4.6,15.7
"'Macedonia'"," 'CentralandEasternEurope'",5.007,1,9.6,0.27,10.3,0.162,4.9,6.3,1.2,-0.9,26.1,21.8,6.35,40.2,14956,75.4,37.4,1.8,33.3
"'Mozambique'"," 'Sub-SaharanAfrica'",4.971,1,3.1,0.2,-13,0.546,42.3,5.3,NA,-0.2,3.4,83.6,9.1,27.1,1263,57.2,17.1,0.1,39.6
"'Albania'"," 'CentralandEasternEurope'",4.959,1,10,0.13,-2.3,0.207,11.3,NA,2.2,-9.4,17.1,56.6,5.35,46,12126,78,34.9,15,20.7
"'BosniaandHerzegovina'"," 'CentralandEasternEurope'",4.949,1,9,0.52,-1.1,0.168,8.9,9.3,1.7,-14.5,27.7,18.8,6.8,45.8,12794,76.9,40.7,16.6,19.3
"'Lesotho'"," 'Sub-SaharanAfrica'",4.898,1,6.1,NA,25,0.558,34.6,8.4,43.6,-4.7,24.4,16.6,27.3,64.9,2727,51,23,0,24.8
"'DominicanRepublic'"," 'LatinAmericaandCaribbean'",4.885,1,7.8,0.16,82.5,0.472,7.1,6,NA,-3.1,7.6,41.2,10.35,69.5,15328,73.2,26.5,0.5,19.1
"'Laos'"," 'SoutheasternAsia'",4.876,1,5.1,NA,7.4,0.478,33.1,2.5,NA,-3.5,0.7,81.7,9.45,54.1,6544,66.5,22.8,6.8,25
"'Mongolia'"," 'EasternAsia'",4.874,1,10.1,0.51,-0.6,0.326,9.4,4.2,7.1,-0.3,4.9,49.4,13.65,48.1,11023,69.1,27.1,2.4,14.5
"'Swaziland'"," 'Sub-SaharanAfrica'",4.867,1,6.6,NA,25.1,0.562,25.5,7.1,10.1,-7.7,23.5,32.3,17.25,66.1,8375,55.4,19.7,0.2,14.7
"'Greece'"," 'WesternEurope'",4.857,1,10.6,0.25,23.8,0.124,NA,8.1,0.9,-3,24.9,28.1,3.65,NA,28537,81.5,43.4,0.1,19.7
"'Lebanon'"," 'MiddleEastandNorthernAfrica'",4.839,1,8.5,0.32,4.9,0.448,NA,7.7,3.5,41.5,6.4,27.2,3.25,54.5,16299,78.8,27.6,5.8,3.1
"'Hungary'"," 'CentralandEasternEurope'",4.8,1,11.8,0.18,14.3,0.235,NA,7,2.3,0.6,6.8,5.8,15.45,61.6,27541,76,41.7,4,10.1
"'Honduras'"," 'LatinAmericaandCaribbean'",4.788,1,6.3,0.25,-45,0.427,22.6,7.7,56.5,-0.7,6.1,41.8,3.35,73.2,5283,74.5,22.5,26.4,25.8
"'Tajikistan'"," 'CentralandEasternEurope'",4.786,1,10.5,0.19,1.9,0.324,17.5,6.9,NA,-3.4,11.5,43.2,3.4,29.3,2822,70.1,22,2,14.7
"'Tunisia'"," 'MiddleEastandNorthernAfrica'",4.739,1,7,0.21,63.5,0.275,8.4,7,NA,-2.8,15.2,20.5,3.3,50.7,10520,75.9,31.3,2.1,31.3
"'PalestinianTerritories'"," 'MiddleEastandNorthernAfrica'",4.715,1,9,NA,1,NA,7.4,NA,1.2,-7.3,23,25,NA,57.2,5559,73.4,19.5,96.3,NA
"'Bangladesh'"," 'SouthernAsia'",4.694,1,5.8,0.14,-4.5,0.562,30.8,2.5,2.6,-3,4.4,58.8,6.35,62.3,3700,71.5,25.7,22.9,20
"'Iran'"," 'MiddleEastandNorthernAfrica'",4.686,1,9.9,0.43,17.8,0.507,6.8,7.8,NA,-1.3,11.1,40.3,3.95,77.4,12698,75.8,29.7,129.7,3.1
"'Ukraine'"," 'CentralandEasternEurope'",4.681,1,11.4,0.6,4.4,0.288,NA,6.9,NA,0.6,9.1,14.7,20.15,65.4,11237,71.5,40,59.9,12.1
"'Iraq'"," 'MiddleEastandNorthernAfrica'",4.677,1,6.8,0.25,3.4,0.566,12.6,3.1,NA,8,10.7,21.8,4.15,52.8,10311,69.9,20,343.9,26.5
"'SouthAfrica'"," 'Sub-SaharanAfrica'",4.642,1,10.1,0.62,0,0.419,27.4,8.2,33.7,3.5,25.2,9.4,13.7,54.6,12840,62.6,26.4,0.5,41.2
"'Ghana'"," 'Sub-SaharanAfrica'",4.633,1,6.9,0.14,8.6,0.556,17.5,4.6,1.9,-0.4,6.8,69.9,9.25,33,4670,62.8,20.7,18.4,10.9
"'Zimbabwe'"," 'Sub-SaharanAfrica'",4.61,1,8.2,0.35,-38,0.546,23.5,7.5,NA,-9.4,5.3,65.2,19.9,66.8,2958,59.5,18.4,10.6,35.1
"'Liberia'"," 'Sub-SaharanAfrica'",4.571,1,4.4,NA,-15.8,0.66,30.1,10.3,NA,1.2,2.1,77.4,12.9,31.2,1580,62.3,18.8,5.4,10.7
"'India'"," 'SouthernAsia'",4.565,1,6.2,0.28,10.8,0.55,34.7,3.6,3.4,-0.4,5.6,76.9,16.75,53.5,5454,68.6,26.8,12,12.2
"'Sudan'"," 'Sub-SaharanAfrica'",4.55,1,3.6,0.1,NA,0.564,38.2,7.2,NA,-2.9,17.3,50.2,9.5,12.2,4192,64.4,18.9,732.8,31
"'Haiti'"," 'LatinAmericaandCaribbean'",4.518,1,5.3,0.18,-17.1,0.632,21.9,8.6,10,-2.9,14,72.9,12.45,34.3,1764,62.5,22.7,26.7,3.5
"'Congo(Kinshasa)'"," 'Sub-SaharanAfrica'",4.517,1,6.4,0.04,-5,0.641,42.7,3.9,NA,0,4.4,80.1,9.8,20.4,1065,59.3,16.8,807.2,8.2
"'Nepal'"," 'SouthernAsia'",4.514,1,4.7,0.09,-24.7,0.493,36.1,6.2,NA,-15.1,1.5,79.6,10.2,52.6,2912,69.5,22.2,8.2,29.5
"'Ethiopia'"," 'Sub-SaharanAfrica'",4.512,1,2.6,0.07,NA,0.534,36.8,3.9,NA,0.8,2.2,87.1,11.75,40.1,1779,65,18.3,95.7,37.3
